zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CDT,1331452800,-18000,1
America/Chicago,US,CST,1352012400,-21600,0
America/Chicago,US,CDT,1362902400,-18000,1
America/Chicago,US,CST,1383462000,-21600,0
America/Chicago,US,CDT,1394352000,-18000,1
America/Chicago,US,CST,1414911600,-21600,0
America/Chicago,US,CDT,1425801600,-18000,1
America/Chicago,US,CST,1446361200,-21600,0
America/Chicago,US,CDT,1457856000,-18000,1
America/Chicago,US,CST,1478415600,-21600,0
America/Chicago,US,CDT,1489305600,-18000,1
America/Chicago,US,CST,1509865200,-21600,0
America/Chicago,US,CDT,1520755200,-18000,1
America/Chicago,US,CST,1541314800,-21600,0
America/Chicago,US,CDT,1552204800,-18000,1
America/Chicago,US,CST,1572764400,-21600,0
America/Chicago,US,CDT,1583654400,-18000,1
America/Chicago,US,CST,1604214000,-21600,0
America/Chicago,US,CDT,1615708800,-18000,1
America/Chicago,US,CST,1636268400,-21600,0
America/Chicago,US,CDT,1647158400,-18000,1
America/Chicago,US,CST,1667718000,-21600,0
America/Chicago,US,CDT,1678608000,-18000,1
America/Chicago,US,CST,1699167600,-21600,0
America/Chicago,US,CDT,1710057600,-18000,1
America/Chicago,US,CST,1730617200,-21600,0
America/Chicago,US,CDT,1741507200,-18000,1
America/Chicago,US,CST,1762066800,-21600,0
America/Chicago,US,CDT,1772956800,-18000,1
America/Chicago,US,CST,1793516400,-21600,0
America/Chicago,US,CDT,1805011200,-18000,1
America/Chicago,US,CST,1825570800,-21600,0
America/Chicago,US,CDT,1836460800,-18000,1
America/Chicago,US,CST,1857020400,-21600,0
America/Chicago,US,CDT,1867910400,-18000,1
America/Chicago,US,CST,1888470000,-21600,0
America/Chicago,US,CDT,1899360000,-18000,1
America/Chicago,US,CST,1919919600,-21600,0
America/Chicago,US,CDT,1930809600,-18000,1
America/Chicago,US,CST,1951369200,-21600,0
America/Chicago,US,CDT,1962864000,-18000,1
America/Chicago,US,CST,1983423600,-21600,0
America/Chicago,US,CDT,1994313600,-18000,1
America/Chicago,US,CST,2014873200,-21600,0
America/Chicago,US,CDT,2025763200,-18000,1
America/Chicago,US,CST,2046322800,-21600,0
America/Chicago,US,CDT,2057212800,-18000,1
America/Chicago,US,CST,2077772400,-21600,0
America/Chicago,US,CDT,2088662400,-18000,1
America/Chicago,US,CST,2109222000,-21600,0
America/Chicago,US,CDT,2120112000,-18000,1
America/Chicago,US,CST,2140671600,-21600,0
America/Chicago,US,CDT,2152166400,-18000,1
America/Chicago,US,CST,2172726000,-21600,0
America/Chicago,US,CDT,2183616000,-18000,1
America/Chicago,US,CST,2204175600,-21600,0
America/Chicago,US,CDT,2215065600,-18000,1
America/Chicago,US,CST,2235625200,-21600,0
America/Chicago,US,CDT,2246515200,-18000,1
America/Chicago,US,CST,2267074800,-21600,0
America/Chicago,US,CDT,2277964800,-18000,1
America/Chicago,US,CST,2298524400,-21600,0
America/Chicago,US,CDT,2309414400,-18000,1
America/Chicago,US,CST,2329974000,-21600,0
America/Chicago,US,CDT,2341468800,-18000,1
America/Chicago,US,CST,2362028400,-21600,0
America/Chicago,US,CDT,2372918400,-18000,1
America/Chicago,US,CST,2393478000,-21600,0
America/Chicago,US,CDT,2404368000,-18000,1
America/Chicago,US,CST,2424927600,-21600,0
America/Chicago,US,CDT,2435817600,-18000,1
America/Chicago,US,CST,2456377200,-21600,0
America/Chicago,US,CDT,2467267200,-18000,1
America/Chicago,US,CST,2487826800,-21600,0
America/Chicago,US,CDT,2499321600,-18000,1
America/Chicago,US,CST,2519881200,-21600,0
America/Chicago,US,CDT,2530771200,-18000,1
America/Chicago,US,CST,2551330800,-21600,0
