id,zone_name,country_code,abbreviation,time_start,gmt_offset,dst
9777,America/Chicago,US,CST,2487826800,-21600,0
9779,America/Chicago,US,CST,2519881200,-21600,0
9781,America/Chicago,US,CST,2551330800,-21600,0
9783,America/Chicago,US,CST,2582780400,-21600,0
9785,America/Chicago,US,CST,2614230000,-21600,0
9787,America/Chicago,US,CST,2645679600,-21600,0
9789,America/Chicago,US,CST,2677129200,-21600,0
9791,America/Chicago,US,CST,2709183600,-21600,0
9793,America/Chicago,US,CST,2740633200,-21600,0
9795,America/Chicago,US,CST,2772082800,-21600,0
9797,America/Chicago,US,CST,2803532400,-21600,0
9799,America/Chicago,US,CST,2834982000,-21600,0
9801,America/Chicago,US,CST,2867036400,-21600,0
9803,America/Chicago,US,CST,2898486000,-21600,0
9805,America/Chicago,US,CST,2929935600,-21600,0
9807,America/Chicago,US,CST,2961385200,-21600,0
9809,America/Chicago,US,CST,2992834800,-21600,0
9811,America/Chicago,US,CST,3024284400,-21600,0
9813,America/Chicago,US,CST,3056338800,-21600,0
9815,America/Chicago,US,CST,3087788400,-21600,0
9817,America/Chicago,US,CST,3119238000,-21600,0
9819,America/Chicago,US,CST,3150687600,-21600,0
9821,America/Chicago,US,CST,3182137200,-21600,0
9823,America/Chicago,US,CST,3213586800,-21600,0
9825,America/Chicago,US,CST,3245641200,-21600,0
9827,America/Chicago,US,CST,3277090800,-21600,0
9829,America/Chicago,US,CST,3308540400,-21600,0
9831,America/Chicago,US,CST,3339990000,-21600,0
9833,America/Chicago,US,CST,3371439600,-21600,0
9835,America/Chicago,US,CST,3403494000,-21600,0
9837,America/Chicago,US,CST,3434943600,-21600,0
9839,America/Chicago,US,CST,3466393200,-21600,0
9841,America/Chicago,US,CST,3497842800,-21600,0
9843,America/Chicago,US,CST,3529292400,-21600,0
9845,America/Chicago,US,CST,3560742000,-21600,0
9847,America/Chicago,US,CST,3592796400,-21600,0
9849,America/Chicago,US,CST,3624246000,-21600,0
9851,America/Chicago,US,CST,3655695600,-21600,0
9853,America/Chicago,US,CST,3687145200,-21600,0
9855,America/Chicago,US,CST,3718594800,-21600,0
9857,America/Chicago,US,CST,3750649200,-21600,0
